,Tweets
8,"['Bitcoin', '42119', '88', '123', '54', 'last', '1', 'Hour', '0', '29', '448', '38', 'last', '5', 'Hours', '1', '05', '979', '06', 'last', '24', 'Hours', '2', '27', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
9,"['Bitcoin', '42243', '42', '246', '63', 'last', '1', 'Hour', '0', '58', '444', '48', 'last', '5', 'Hours', '1', '04', '1169', '61', 'last', '24', 'Hours', '2', '69', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
0,"['1', '700', 'BTC', '71', '454', '701', 'USD', 'transferred', 'from', 'Binance', 'to', 'Xapo', 'https', 't', 'co', 'RvFnJHZ4iT']"
1,"['20', '883', '000', 'XLM', '5', '327', '832', 'USD', 'transferred', 'from', 'CryptoCom', 'to', 'unknown', 'wallet', 'https', 't', 'co', 'rIS0s9uXmm']"
2,"['29', '999', '964', 'USDT', '29', '999', '964', 'USD', 'transferred', 'from', 'Binance', 'to', 'unknown', 'wallet', 'https', 't', 'co', 'nWrxzIMgVC']"
3,"['60', '000', '000', 'USDT', '60', '000', '000', 'USD', 'transferred', 'from', 'unknown', 'wallet', 'to', 'FTX', 'https', 't', 'co', 'VmHXWnIRYA']"
4,"['45', '000', '000', 'USDT', '45', '000', '000', 'USD', 'transferred', 'from', 'unknown', 'wallet', 'to', 'Tether', 'Treasury', 'https', 't', 'co', 'zmWndrg5ss']"
5,"['27', '230', '455', 'BUSD', '27', '230', '455', 'USD', 'transferred', 'from', 'Binance', 'to', 'unknown', 'wallet', 'https', 't', 'co', 'F7CQpaDU4i']"
6,"['153', '253', '930', 'BUSD', '153', '253', '930', 'USD', 'burned', 'at', 'Binance', 'https', 't', 'co', 'wnkbqu8Qcx']"
7,"['1', '678', '091', 'BNB', '787', '944', '615', 'USD', 'burned', 'at', 'Binance', 'https', 't', 'co', 'W2ByT3wfpw']"
8,"['19', '999', '965', 'USDT', '19', '999', '965', 'USD', 'transferred', 'from', 'Binance', 'to', 'unknown', 'wallet', 'https', 't', 'co', 'O97AKwLQxB']"
9,"['1', '400', 'BTC', '59', '522', '264', 'USD', 'transferred', 'from', 'Coinbase', 'to', 'unknown', 'wallet', 'https', 't', 'co', 'KdlfaglwS4']"
0,"['Buyer', 'Melody', 'Banana', 'Wallet', 'Balance', '594', '88', 'Seller', '0x07c8E', 'Wallet', 'Balance', '3', '349', '69', 'HODL', 'duration', '6', 'days', '20', 'hours', 'Profit', '1', '1', '3', '534', '59']"
1,"['Laid', 'Back', 'Llamas', '767', 'bought', 'for', '1', '1', '3', '534', '59', 'Avg', 'Price', '0', '21', 'Rare', 'Traits', 'Eyes', 'Cyborg', '0', '16', 'Outfit', 'Armour', '0', '69', 'https', 't', 'co', 'OlLAH0jxxJ', 'https', 't', 'co', 'JwAslZrGdk']"
2,"['Hourly', 'Top', 'Mints', 'NFT', 'Gurus', '5428', 'Chunky', 'Punks', 'NFT', '536', 'WVRPS', 'by', 'WarpSound', 'Official', '215', 'GhozalIreneDAO', '178', 'White', 'Rabbit', 'by', 'GATE', '89', 'CRYPTOPOLY', 'WEALTH', 'CLUB', 'TCPWC', '89', 'Wall', 'St', 'Bulls', 'Interns', '77', 'Kaiju', 'Queenz', 'Official', '67', 'Fin', 'Society', 'Fables', 'Prehistoric', '59']"
3,"['FLUF', 'World', '4705', 'bought', 'for', '25', '80', '466', '75', 'Avg', 'Price', '5', '95', 'Rare', 'Traits', 'Fur', 'Bully', '1', '67', 'Head', 'Crown', '0', '42', 'https', 't', 'co', 'ctrhq3eVVl', 'https', 't', 'co', 'hYfTxfNJEZ']"
4,"['Buyer', 'matthewbern', 'Wallet', 'Balance', '5', '719', '01', 'Seller', '0x1C4e9', 'Wallet', 'Balance', '953', '693', '48', 'HODL', 'duration', '15', 'weeks', '4', 'days', '19', 'hours', 'Profit', '7', '5', '24', '135', '68']"
5,"['Nifty', 'League', 'DEGENs', '4342', 'bought', 'for', '7', '5', '24', '135', '68', 'Avg', 'Price', '1', '00', 'Rare', 'Traits', 'Background', 'Legendary', '1', '04', 'Hair', 'Beige', 'Pulled', 'Back', '0', '38', 'https', 't', 'co', 'mHTIPPhfwV', 'https', 't', 'co', 'HF8SNdF8hQ']"
6,"['Mutant', 'Ape', 'Yacht', 'Club', '6390', 'bought', 'for', '25', '99', '83', '657', '13', 'Avg', 'Price', '16', '50', 'Rare', 'Traits', 'Eyes', 'M2', 'Angry', '1', '09', 'Hat', 'M2', 'Beanie', '1', '31', 'Clothes', 'M2', 'Navy', 'Striped', 'Tee', '0', '75', 'Fur', 'M2', 'Robot', '0', '76', 'https', 't', 'co', 'AMYje5Oze2', 'https', 't', 'co', '163WRpL9A2']"
7,"['Hourly', 'Top', 'Sales', 'Rug', 'Radio', 'Genesis', 'NFT', '496', 'GhozalIreneDAO', '487', 'PokiDAO', '480', 'Rengoku', 'Legends', 'Samurai', '220', 'The', 'Blerginning', '125', 'THE', 'REBELS', 'by', 'House', 'of', 'Kalinkin', '117', 'WVRPS', 'by', 'WarpSound', 'Official', '113', 'FOMO', 'MOFOS', '99', 'Cranky', 'Critters', 'NFT', '83', 'Cool', 'Monkes', 'Genesis', '82']"
8,"['Hourly', 'Top', 'Volume', 'Rug', 'Radio', 'Genesis', 'NFT', '278', '86', '899', '735', '49', 'Mutant', 'Ape', 'Yacht', 'Club', '133', '87', '431', '923', '52', 'Emblem', 'Vault', 'Ethereum', '112', '02', '361', '418', '71', 'Bored', 'Ape', 'Yacht', 'Club', '100', '00', '322', '644', '00', 'CryptoSkulls', '79', '88', '257', '727', '70', 'FOMO', 'MOFOS', '71', '64', '231', '141', '19']"
9,"['MoonCats', '680', 'bought', 'for', '6', '39', '20', '604', '62', 'Avg', 'Price', '0', '81', 'Rare', 'Traits', 'Coat', 'Magenta', 'Tortie', '1', '01', 'MoonCat', 'Id', '0x007fe2bce1', '0', '01', 'In', 'Moment', '0', 'Suits', 'On', 'for', 'Sotheby', 's', '0', '76', 'Accessory', '959', 'Suit', 'Up', 'Sotheby', 's', 'Stalk', '0', '1', 'https', 't', 'co', 'WDfgtEIm5w', 'https', 't', 'co', 'Xacf64sFTl']"
