,Tweets
0,"['3', '971', 'ETH', '12', '409', '637', 'USD', 'transferred', 'from', 'Binance', 'to', 'unknown', 'wallet', 'https', 't', 'co', 'PJN9TIT2OA']"
1,"['83', '711', '594', 'USDT', '83', '711', '594', 'USD', 'transferred', 'from', 'Binance', 'to', 'unknown', 'wallet', 'https', 't', 'co', 'hmwmBmSoEl']"
2,"['83', '377', '570', 'USDT', '83', '377', '570', 'USD', 'transferred', 'from', 'Binance', 'to', 'unknown', 'wallet', 'https', 't', 'co', 'x4Mmuvav34']"
3,"['1', '501', 'BTC', '63', '835', '330', 'USD', 'transferred', 'from', 'Coinbase', 'to', 'unknown', 'wallet', 'https', 't', 'co', '2hyaqWH92a']"
4,"['650', 'BTC', '27', '751', '935', 'USD', 'transferred', 'from', 'Binance', 'to', 'CryptoCom', 'https', 't', 'co', 'C2JTprMqvj']"
5,"['3', '700', 'ETH', '11', '739', '407', 'USD', 'transferred', 'from', 'unknown', 'wallet', 'to', 'Wrapped', 'Ether', 'https', 't', 'co', 'pATKnDfAYy']"
6,"['600', 'BTC', '25', '504', '035', 'USD', 'transferred', 'from', 'unknown', 'wallet', 'to', 'Xapo', 'https', 't', 'co', 'WNfUXG79wA']"
7,"['78', '543', '084', 'BUSD', '78', '543', '084', 'USD', 'burned', 'at', 'Binance', 'https', 't', 'co', 'KJzATseD9Q']"
8,"['500', 'BTC', '20', '711', '896', 'USD', 'transferred', 'from', 'Bitstamp', 'to', 'unknown', 'wallet', 'https', 't', 'co', 'McRi3OOi1P']"
