,Tweets
0,"['Buyer', 'MakeLove', 'Wallet', 'Balance', '106', '965', '20', 'Seller', 'BigUne', 'Wallet', 'Balance', '576', '823', '75', 'HODL', 'duration', '23', 'weeks', '15', 'hours', 'Profit', '10', '25', '33', '646', '44']"
1,"['World', 'of', 'Women', '7957', 'bought', 'for', '12', '39', '390', '96', 'Avg', 'Price', '8', '00', 'Rare', 'Trait', 'Lips', 'Color', 'Space', '1', '95', 'https', 't', 'co', 'r6UfO6SH2j', 'https', 't', 'co', 'CAmh5qQbMd']"
2,"['Hourly', 'Top', 'Mints', 'Undead', 'Doodles', '506', 'Girls', 'Riding', 'Things', 'V2', '132', 'The', 'CitaDAO', 'Project', '125', 'Rengoku', 'Legends', 'Samurai', '92', 'IreneDAOwn', '64', 'CryptoTrexVX', '64', 'Women', 'Doods', '63', 'Citizens', 'Y2123', '53', 'LEEDO', 'LP', 'Squid', 'Game', 'Card', '52', 'Baby', 'Ape', 'Club', 'Official', '50']"
3,"['Buyer', '0x7deed', 'Wallet', 'Balance', '7', '487', '69', 'Seller', 'quantized', 'Wallet', 'Balance', '127', '821', '80', 'HODL', 'duration', '20', 'weeks', '1', 'day', '5', 'hours', 'Profit', '24', '8', '81', '174', '86']"
4,"['Mutant', 'Ape', 'Yacht', 'Club', '3599', 'bought', 'for', '24', '8', '81', '174', '86', 'Avg', 'Price', '16', '00', 'Rare', 'Traits', 'Fur', 'M2', 'Gray', '1', '18', 'Hat', 'M2', 'Party', 'Hat', '2', '0', '26', 'Clothes', 'M2', 'Bandolier', '0', '38', 'Eyes', 'M2', 'Holographic', '0', '43', 'https', 't', 'co', 'gRLmHSwTj8', 'https', 't', 'co', 'sHWKKksSUA']"
5,"['Hourly', 'Top', 'Sales', 'Trippy', 'GAN', 'Toadz', '308', 'THE', 'REBELS', 'by', 'House', 'of', 'Kalinkin', '284', 'FOMO', 'MOFOS', '188', 'X', 'Rabbits', 'Club', '143', 'MissCryptoClub', '115', 'Nudie', 'Community', 'Official', '79', '8SIAN', 'Main', 'Collection', '68', 'Rug', 'Radio', 'Genesis', 'NFT', '64', 'Parallel', 'Alpha', '64', 'Lil', 'Heroes', 'by', 'Edgar', 'Plans', '61']"
6,"['Hourly', 'Top', 'Volume', 'X', 'Rabbits', 'Club', '223', '87', '728', '640', '12', 'Lil', 'Heroes', 'by', 'Edgar', 'Plans', '139', '26', '453', '269', '18', 'FOMO', 'MOFOS', '99', '30', '323', '195', '14', 'FLUF', 'World', '87', '52', '284', '855', '72', 'Bored', 'Ape', 'Yacht', 'Club', '83', '40', '271', '446', '15', 'Azuki', '82', '76', '269', '353', '35']"
7,"['Buyer', '0x58718', 'Wallet', 'Balance', '19', '450', '67', 'Seller', 'smokenft', 'Wallet', 'Balance', '70', '442', '28', 'HODL', 'duration', '16', 'weeks', '1', 'day', 'Profit', '3', '5', '11', '378', '18']"
8,"['GalacticApes', '5659', 'bought', 'for', '3', '5', '11', '378', '18', 'Avg', 'Price', '0', '27', 'Rare', 'Trait', 'Type', 'Gedi', '0', '34', 'https', 't', 'co', 'ANnIf136e8', 'https', 't', 'co', 'CuuNqTsr1V']"
