,Tweets
0,"['Bitcoin', '42673', '72', '41', '31', 'last', '1', 'Hour', '0', '1', '241', '61', 'last', '5', 'Hours', '0', '56', '326', '95', 'last', '24', 'Hours', '0', '76', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
1,"['Bitcoin', '42632', '41', '25', '37', 'last', '1', 'Hour', '0', '06', '467', '95', 'last', '5', 'Hours', '1', '09', '428', '43', 'last', '24', 'Hours', '0', '99', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
2,"['Bitcoin', '42657', '78', '288', '39', 'last', '1', 'Hour', '0', '67', '561', '22', 'last', '5', 'Hours', '1', '3', '351', '63', 'last', '24', 'Hours', '0', '82', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
3,"['Bitcoin', '42946', '17', '34', '97', 'last', '1', 'Hour', '0', '08', '29', '95', 'last', '5', 'Hours', '0', '07', '0', '27', 'last', '24', 'Hours', '0', '0', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
4,"['Bitcoin', '42911', '2', '4', '13', 'last', '1', 'Hour', '0', '01', '149', '15', 'last', '5', 'Hours', '0', '35', '113', '9', 'last', '24', 'Hours', '0', '26', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
5,"['Bitcoin', '42915', '33', '185', '03', 'last', '1', 'Hour', '0', '43', '62', '63', 'last', '5', 'Hours', '0', '15', '166', '01', 'last', '24', 'Hours', '0', '39', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
6,"['Bitcoin', '43100', '36', '118', '64', 'last', '1', 'Hour', '0', '27', '14', '03', 'last', '5', 'Hours', '0', '03', '11', '62', 'last', '24', 'Hours', '0', '03', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
7,"['Bitcoin', '43219', '0', '242', '88', 'last', '1', 'Hour', '0', '57', '120', '06', 'last', '5', 'Hours', '0', '28', '40', '5', 'last', '24', 'Hours', '0', '09', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
8,"['Bitcoin', '42976', '12', '84', '23', 'last', '1', 'Hour', '0', '2', '436', '91', 'last', '5', 'Hours', '1', '01', '356', '85', 'last', '24', 'Hours', '0', '82', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
